"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","train/loss","BCE 100 - train/loss__MIN","BCE 100 - train/loss__MAX"
"80","884.5","880","889","0.14339445531368256","0.12796993553638458","0.1638677567243576"
"81","895.5","891","900","0.1429687961935997","0.1300457864999771","0.156080424785614"
"82","906.5","902","911","0.14157137870788575","0.13476453721523285","0.1469622403383255"
"83","917.5","913","922","0.14120264053344728","0.13286414742469788","0.15281043946743011"
"84","928.5","924","933","0.13988486230373381","0.12875714898109436","0.15269224345684052"
"85","939.5","935","944","0.13933552727103232","0.12123533338308334","0.15093788504600525"
"86","950.5","946","955","0.13833150863647461","0.13221745193004608","0.15035046637058258"
"87","961.5","957","966","0.13785375505685807","0.12935622036457062","0.14620259404182434"
"88","972.5","968","977","0.13776817098259925","0.12424292415380478","0.14980341494083405"
"89","983.5","979","988","0.13747325241565705","0.12385576963424683","0.15117304027080536"
"90","994.5","990","999","0.13703216463327408","0.1210198849439621","0.15495175123214722"
"91","1005.5","1001","1010","0.13643152713775636","0.12793835997581482","0.15102417767047882"
"92","1016.5","1012","1021","0.13609250709414483","0.12466306239366531","0.14789322018623352"
"93","1027.5","1023","1032","0.13593786358833312","0.1297285258769989","0.1400407999753952"
"94","1038.5","1034","1043","0.13514239937067032","0.1293991208076477","0.14296206831932068"
"95","1049.5","1045","1054","0.13441456183791162","0.12314432114362717","0.14811532199382782"
"96","1060.5","1056","1065","0.13432524278759955","0.12268684059381485","0.14941537380218506"
"97","1071.5","1067","1076","0.13397319465875626","0.12625133991241455","0.13905411958694458"
"98","1082.5","1078","1087","0.133695325255394","0.12392392754554749","0.14530383050441742"
"99","1093.5","1089","1098","0.13358279317617416","0.12242783606052399","0.14488448202610016"
