"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","n_split","Brier score 1 mm","Brier score 10 mm","Brier score 100 mm","Brier score 150 mm","Brier score 20 mm","Brier score 5 mm","Brier score 50 mm","ECE 1 mm","ECE 10 mm","ECE 100 mm","ECE 150 mm","ECE 20 mm","ECE 5 mm","ECE 50 mm","KL 1 mm","KL 10 mm","KL 100 mm","KL 150 mm","KL 20 mm","KL 5 mm","KL 50 mm","MSEp_loss","rmse NWP 0","rmse NWP 1","rmse NWP 2","rmse NWP 3","train_loss","val_loss"
"breezy-sweep-9","2024-05-12T10:23:18.000Z","1382","2024-05-12T10:46:20.000Z","m2yi4xw5","-","2024-05-12T10:46:20.000Z","","8","0.25328952074050903","0.30054980516433716","0.010335719212889671","0.0003316924849059433","0.18302291631698608","0.3487548232078552","0.06027466431260109","0.03771338444253628","0.03775587048682291","0.0004171506843429082","0.001905241607292554","0.02539184040958842","0.04765191583783524","0.0023699503516862834","4.67225980758667","4.1511077880859375","0.1966830939054489","0.04175515100359917","2.0666184425354004","5.604935169219971","0.4907517433166504","0.04089370742440224","16.008535385131836","14.476096153259276","15.8704833984375","15.198742866516112","0.19036337733268735","0.13379648327827454"
"lemon-sweep-8","2024-05-12T10:22:36.000Z","1356","2024-05-12T10:45:12.000Z","iah04pn4","-","2024-05-12T10:45:12.000Z","","7","0.28162142634391785","0.32714274525642395","0.005493622273206711","0.001435004291124642","0.187583789229393","0.3826373219490051","0.04139110445976257","0.0335656105167146","0.034890376682359205","0.0006007365837320148","0.0005480922498233607","0.009918332741209282","0.04624553863263076","0.00979485337110982","4.746293067932129","4.0521416664123535","0.1638198345899582","0.0635179653763771","2.4696948528289795","4.726855754852295","0.5790081024169922","0.034795548766851425","16.06424903869629","16.03567886352539","18.10331153869629","18.036352157592773","0.17910102009773254","0.11846180260181428"
"eager-sweep-7","2024-05-12T10:22:23.000Z","1394","2024-05-12T10:45:37.000Z","2vclu7yj","-","2024-05-12T10:45:37.000Z","","6","0.24571776390075684","0.2692357003688812","0.001210390473715961","0.00000398885231334134","0.14961054921150208","0.34924495220184326","0.035226039588451385","0.051142293983289545","0.01682354093170759","0.00035250537622169895","0.00034914973363860623","0.017946091643407595","0.02121583655223235","0.008698625341835615","5.422265529632568","3.894371271133423","0.04942477121949196","0.005818263627588749","1.4267141819000244","5.947052478790283","0.4458906054496765","0.04180523753166199","11.42243480682373","11.90283203125","12.525248527526855","12.216140747070312","0.17240279912948608","0.13552482426166534"
"good-sweep-6","2024-05-12T10:21:35.000Z","1251","2024-05-12T10:42:26.000Z","ihim2zmz","-","2024-05-12T10:42:26.000Z","","5","0.24292635917663577","0.2925003468990326","0.0001908500853460282","0.0000027718926958186785","0.1448420137166977","0.35725465416908264","0.015908779576420784","0.05910274914052742","0.04861149423511079","0.00045341800778316856","0.00028475684245723336","0.029893583562169847","0.023526583439407785","0.002417716813388901","4.881728172302246","4.54910945892334","0.014722933061420918","0.004547406919300556","2.0874674320220947","5.637988567352295","0.3294830918312073","0.0377158485352993","12.01211166381836","11.01576328277588","13.70302963256836","13.243005752563477","0.16806061565876007","0.12643581628799438"
"laced-sweep-5","2024-05-12T09:59:45.000Z","1545","2024-05-12T10:25:30.000Z","ynjeiu9h","-","2024-05-12T10:25:30.000Z","","4","0.26729750633239746","0.3029240667819977","0.02316974475979805","0.005229162517935038","0.20112821459770203","0.353783518075943","0.09675294905900957","0.02289458637965062","0.015714969034870706","0.004095268109362145","0.004552013569355423","0.007512230931763157","0.02334416320971937","0.0026007080123987875","5.448840141296387","3.796284675598145","0.36449363827705383","0.13091906905174255","1.6702404022216797","5.425188064575195","0.7206312417984009","0.036044660955667496","16.241981506347656","15.490533828735352","19.094953536987305","19.47456741333008","0.1700199395418167","0.12202644348144533"
"atomic-sweep-4","2024-05-12T09:57:39.000Z","1434","2024-05-12T10:21:33.000Z","awg8krm3","-","2024-05-12T10:21:33.000Z","","3","0.2518017590045929","0.2557958662509918","0.00004167555380263366","0.0000015903374332992826","0.10855931043624878","0.338771790266037","0.0093246977776289","0.09488039886578936","0.01864890523456471","0.0005155562251463652","0.00020681639169389533","0.008947502642699027","0.038690307407193494","0.0016882391682437091","5.442624568939209","4.456461429595947","0.010066993534564972","0.003213306190446019","1.7099953889846802","6.163510322570801","0.21518796682357788","0.038821399211883545","10.999316215515137","11.690237998962402","14.05598258972168","13.277770042419434","0.18078787624835968","0.13022162020206451"
"hardy-sweep-3","2024-05-12T09:57:23.000Z","1511","2024-05-12T10:22:34.000Z","jxyjrs71","-","2024-05-12T10:22:34.000Z","","2","0.2589799165725708","0.2954845428466797","0.001295671216212213","0.000006004041097185109","0.16102363169193268","0.35913828015327454","0.023496301844716072","0.019635032829229022","0.02304392867594446","0.0005234218304050751","0.0003934355020247135","0.02108849276560231","0.0318647131878657","0.003170048599951284","5.170723915100098","3.831486940383911","0.05040644109249115","0.0065597593784332275","1.917190194129944","5.529468059539795","0.4620906114578247","0.03878479823470116","11.87348461151123","11.976981163024902","14.39201831817627","12.639456748962402","0.18362247943878177","0.12983793020248413"
"efficient-sweep-2","2024-05-12T09:56:45.000Z","1536","2024-05-12T10:22:21.000Z","rjp8kpbp","-","2024-05-12T10:22:21.000Z","","1","0.2559972107410431","0.2041313648223877","0.0011452448088675735","5.270425731396244e-7","0.05413925275206566","0.3169444799423218","0.006608074996620417","0.06855585092585054","0.050159265100316354","0.0009060740260586348","0.00007365047044928706","0.02618014958102983","0.02387827974179851","0.0011959000050976551","5.707786560058594","4.4813947677612305","0.02896471507847309","0.001150724827311933","1.2448054552078247","6.030883312225342","0.11131447553634644","0.044456884264945984","10.429991722106934","10.847860336303713","11.758893966674805","10.266422271728516","0.18264812231063843","0.14450481534004211"
"clean-sweep-1","2024-05-12T09:56:42.000Z","1594","2024-05-12T10:23:16.000Z","0ltvprsn","-","2024-05-12T10:23:16.000Z","","0","0.2609739601612091","0.23059307038784027","0.0028594874311238527","0.00018420211563352495","0.10594922304153442","0.32902395725250244","0.022988883778452873","0.027880354377620663","0.012291568769355832","0.0004324011673518935","0.0002808927541814939","0.01107987672940014","0.014359767674841734","0.002208303580599397","5.52631139755249","3.5767250061035156","0.06724581122398376","0.011628269217908382","1.4273115396499634","5.851290702819824","0.2885814607143402","0.03872853145003319","11.806106567382812","11.330859184265137","13.921453475952148","13.31178379058838","0.19684883952140808","0.128376305103302"
