"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","case_study","dataset_size","epochs","epochs_fn","fine_tune","finetune_type","indx_thresh","input_path","lr","method","metric.goal","metric.name","n_bin","n_split","n_thresh","network_model","parameters.dataset_sizes","parameters.epochss","parameters.epochs_fns","parameters.fine_tunes","parameters.n_bins","parameters.n_splits","parameters.n_threshs","parameters.threshs","program","seed","temperature","thresh","parameters.case_studys","Cape/test/AUC","Cape/test/ECE","Cape/test/KL","Cape/test/brierScore","Cape/test_metric/AUC 0.02","Cape/test_metric/AUC 0.12","Cape/test_metric/AUC 0.25","Cape/test_metric/AUC 0.50","Cape/test_metric/AUC 0.75","Cape/test_metric/AUC 1.00","Cape/test_metric/ECE 0.02","Cape/test_metric/ECE 0.12","Cape/test_metric/ECE 0.25","Cape/test_metric/ECE 0.50","Cape/test_metric/ECE 0.75","Cape/test_metric/ECE 1.00","Cape/test_metric/KL 0.02","Cape/test_metric/KL 0.12","Cape/test_metric/KL 0.25","Cape/test_metric/KL 0.50","Cape/test_metric/KL 0.75","Cape/test_metric/KL 1.00","Cape/test_metric/brierScore 0.02","Cape/test_metric/brierScore 0.12","Cape/test_metric/brierScore 0.25","Cape/test_metric/brierScore 0.50","Cape/test_metric/brierScore 0.75","Cape/test_metric/brierScore 1.00","Cape/train/BCE","Cape/train/CAPE","Cape/train/loss","Cape/val/AUC","Cape/val/ECE","Cape/val/KL","Cape/val/brierScore","Cape/val/loss","Cape/val_metric/AUC 0.02","Cape/val_metric/AUC 0.12","Cape/val_metric/AUC 0.25","Cape/val_metric/AUC 0.50","Cape/val_metric/AUC 0.75","Cape/val_metric/AUC 1.00","Cape/val_metric/ECE 0.02","Cape/val_metric/ECE 0.12","Cape/val_metric/ECE 0.25","Cape/val_metric/ECE 0.50","Cape/val_metric/ECE 0.75","Cape/val_metric/ECE 1.00","Cape/val_metric/KL 0.02","Cape/val_metric/KL 0.12","Cape/val_metric/KL 0.25","Cape/val_metric/KL 0.50","Cape/val_metric/KL 0.75","Cape/val_metric/KL 1.00","Cape/val_metric/brierScore 0.02","Cape/val_metric/brierScore 0.12","Cape/val_metric/brierScore 0.25","Cape/val_metric/brierScore 0.50","Cape/val_metric/brierScore 0.75","Cape/val_metric/brierScore 1.00","epoch","test/AUC","test/ECE","test/KL","test/brierScore","test_metric/AUC 0.02","test_metric/AUC 0.12","test_metric/AUC 0.25","test_metric/AUC 0.50","test_metric/AUC 0.75","test_metric/AUC 1.00","test_metric/ECE 0.02","test_metric/ECE 0.12","test_metric/ECE 0.25","test_metric/ECE 0.50","test_metric/ECE 0.75","test_metric/ECE 1.00","test_metric/KL 0.02","test_metric/KL 0.12","test_metric/KL 0.25","test_metric/KL 0.50","test_metric/KL 0.75","test_metric/KL 1.00","test_metric/brierScore 0.02","test_metric/brierScore 0.12","test_metric/brierScore 0.25","test_metric/brierScore 0.50","test_metric/brierScore 0.75","test_metric/brierScore 1.00","train/BCE","train/CAPE","train/loss","trainer/global_step","val/AUC","val/ECE","val/KL","val/brierScore","val/loss","val_metric/AUC 0.02","val_metric/AUC 0.12","val_metric/AUC 0.25","val_metric/AUC 0.50","val_metric/AUC 0.75","val_metric/AUC 1.00","val_metric/ECE 0.02","val_metric/ECE 0.12","val_metric/ECE 0.25","val_metric/ECE 0.50","val_metric/ECE 0.75","val_metric/ECE 1.00","val_metric/KL 0.02","val_metric/KL 0.12","val_metric/KL 0.25","val_metric/KL 0.50","val_metric/KL 0.75","val_metric/KL 1.00","val_metric/brierScore 0.02","val_metric/brierScore 0.12","val_metric/brierScore 0.25","val_metric/brierScore 0.50","val_metric/brierScore 0.75","val_metric/brierScore 1.00","Cape/test_metric/AUC 3.00","Cape/test_metric/AUC 4.00","Cape/test_metric/ECE 3.00","Cape/test_metric/ECE 4.00","Cape/test_metric/KL 3.00","Cape/test_metric/KL 4.00","Cape/test_metric/brierScore 3.00","Cape/test_metric/brierScore 4.00","Cape/val_metric/AUC 3.00","Cape/val_metric/AUC 4.00","Cape/val_metric/ECE 3.00","Cape/val_metric/ECE 4.00","Cape/val_metric/KL 3.00","Cape/val_metric/KL 4.00","Cape/val_metric/brierScore 3.00","Cape/val_metric/brierScore 4.00","test_metric/AUC 3.00","test_metric/AUC 4.00","test_metric/ECE 3.00","test_metric/ECE 4.00","test_metric/KL 3.00","test_metric/KL 4.00","test_metric/brierScore 3.00","test_metric/brierScore 4.00","val_metric/AUC 3.00","val_metric/AUC 4.00","val_metric/ECE 3.00","val_metric/ECE 4.00","val_metric/KL 3.00","val_metric/KL 4.00","val_metric/brierScore 3.00","val_metric/brierScore 4.00"
"absurd-sweep-27","finished","-","","","2024-06-12T20:27:14.000Z","1929","w0rvlowe","32","SBAD","3000","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","8","1","unet","","","","","","","","","","42","1","4","","0.8724126776081502","0.022832808960484764","3.9366614818573","0.09005112946033478","","","","","","","","","","","","","","","","","","","","","","","","","0.22653770446777344","0.23620256781578064","0.23137013614177704","0.8483510093198086","0.0402732928856115","4.094233989715576","0.10907462239265442","0.33554330468177795","","","","","","","","","","","","","","","","","","","","","","","","","10","0.8714035736918829","0.0306817993867596","4.1002516746521","0.09097012877464294","","","","","","","","","","","","","","","","","","","","","","","","","0.2112756371498108","0","0.1056378185749054","660","0.856415421539161","0.042424886483661925","3.91522479057312","0.10595227777957916","0.337483674287796","","","","","","","","","","","","","","","","","","","","","","","","","","0.8724126776081502","","0.022832808960484764","","3.9366614818573","","0.09005112946033478","","0.8483510093198086","","0.0402732928856115","","4.094233989715576","","0.10907462239265442","","0.8714035736918829","","0.0306817993867596","","4.1002516746521","","0.09097012877464294","","0.856415421539161","","0.042424886483661925","","3.91522479057312","","0.10595227777957916"
"denim-sweep-26","finished","-","","","2024-06-12T19:49:40.000Z","2251","w0rvlowe","32","SBAD","3000","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","8","1","unet","","","","","","","","","","42","1","3","","0.9346465674988712","0.009735512138586574","3.751597166061402","0.08753141015768051","","","","","","","","","","","","","","","","","","","","","","","","","0.24503017961978912","0.2469523549079895","0.24599125981330872","0.9225320973004127","0.04274193125792025","4.312087535858154","0.0987764224410057","0.31575945019721985","","","","","","","","","","","","","","","","","","","","","","","","","10","0.93315626030242","0.012732152812332972","3.917269706726074","0.08812075108289719","","","","","","","","","","","","","","","","","","","","","","","","","0.28023338317871094","0","0.14011669158935547","660","0.9263506462046522","0.01830789495333577","4.037389755249023","0.09503306448459624","0.29810619354248047","","","","","","","","","","","","","","","","","","","","","","","","","0.9346465674988712","","0.009735512138586574","","3.751597166061402","","0.08753141015768051","","0.9225320973004127","","0.04274193125792025","","4.312087535858154","","0.0987764224410057","","0.93315626030242","","0.012732152812332972","","3.917269706726074","","0.08812075108289719","","0.9263506462046522","","0.01830789495333577","","4.037389755249023","","0.09503306448459624",""
"misty-fog-534","finished","-","","","2024-06-12T16:40:10.000Z","1745","","32","SBAD","3000","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","8","1","unet","","","","","","","","","","42","1","1","","0.9644883010234078","0.012853793889097454","2.782700538635254","0.06553323566913605","","","","","","0.9644883010234078","","","","","","0.012853793889097454","","","","","","2.782700538635254","","","","","","0.06553323566913605","0.2288122922182083","0.23250003159046173","0.23065616190433505","0.9718084719636828","0.030855852798168677","2.629608154296875","0.06472178548574448","0.2189445048570633","","","","","","0.9718084719636828","","","","","","0.030855852798168677","","","","","","2.629608154296875","","","","","","0.06472178548574448","10","0.9623355702237364","0.008618014178438525","2.746187448501587","0.0660535916686058","","","","","","0.9623355702237364","","","","","","0.008618014178438525","","","","","","2.746187448501587","","","","","","0.0660535916686058","0.31547811627388","0","0.15773905813694","660","0.9693518405939592","0.03864624033709159","3.1894662380218506","0.06637190282344818","0.23344457149505615","","","","","","0.9693518405939592","","","","","","0.03864624033709159","","","","","","3.1894662380218506","","","","","","0.06637190282344818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"good-snowflake-533","finished","-","","","2024-06-12T15:53:50.000Z","2128","","32","SBAD","3000","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","7","1","unet","","","","","","","","","","42","1","4","","0.8744028324916022","0.027979641788527663","3.7039365768432617","0.08030477166175842","","","","","","","","","","","","","","","","","","","","","","","","","0.2695746123790741","0.27307385206222534","0.2713242173194885","0.8436534093489616","0.06811037187746016","4.104004383087158","0.11705409735441208","0.36049848794937134","","","","","","","","","","","","","","","","","","","","","","","","","10","0.8742490931793953","0.04081352094219163","3.909988403320313","0.08154241740703583","","","","","","","","","","","","","","","","","","","","","","","","","0.17040835320949554","0","0.08520417660474777","660","0.8594129106625022","0.05831025439179747","4.042459011077881","0.12142643332481384","0.38004156947135925","","","","","","","","","","","","","","","","","","","","","","","","","","0.8744028324916022","","0.027979641788527663","","3.7039365768432617","","0.08030477166175842","","0.8436534093489616","","0.06811037187746016","","4.104004383087158","","0.11705409735441208","","0.8742490931793953","","0.04081352094219163","","3.909988403320313","","0.08154241740703583","","0.8594129106625022","","0.05831025439179747","","4.042459011077881","","0.12142643332481384"
"gallant-brook-532","finished","-","","","2024-06-12T15:35:36.000Z","1057","","32","SBAD","1500","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","2","1","unet","","","","","","","","","","42","1","3","","0.941536947826607","0.014566806681089155","3.680678606033325","0.08629825711250305","","","","","","","","","","","","","","","","","","","","","","","","","0.20756477117538452","0.21068863570690155","0.20912671089172363","0.8868222976810316","0.0671396695133206","4.17287015914917","0.1212863102555275","0.39051201939582825","","","","","","","","","","","","","","","","","","","","","","","","","10","0.9401372712800672","0.012493923517712342","3.696908950805664","0.08768405020236969","","","","","","","","","","","","","","","","","","","","","","","","","0.2037455439567566","0","0.1018727719783783","370","0.8966608011223299","0.052303003678086345","4.084107398986816","0.11381914466619492","0.3626280128955841","","","","","","","","","","","","","","","","","","","","","","","","","0.941536947826607","","0.014566806681089155","","3.680678606033325","","0.08629825711250305","","0.8868222976810316","","0.0671396695133206","","4.17287015914917","","0.1212863102555275","","0.9401372712800672","","0.012493923517712342","","3.696908950805664","","0.08768405020236969","","0.8966608011223299","","0.052303003678086345","","4.084107398986816","","0.11381914466619492",""
"rare-bee-531","finished","-","","","2024-06-12T15:35:22.000Z","1020","","32","SBAD","1500","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","2","1","unet","","","","","","","","","","42","1","1","","0.972317289358416","0.009344979012268963","2.578162431716919","0.06125551089644432","","","","","","0.972317289358416","","","","","","0.009344979012268963","","","","","","2.578162431716919","","","","","","0.06125551089644432","0.1668754816055298","0.17157965898513794","0.16922757029533386","0.9600467702825524","0.03323689112409547","2.7386159896850586","0.0702613964676857","0.2555977702140808","","","","","","0.9600467702825524","","","","","","0.03323689112409547","","","","","","2.7386159896850586","","","","","","0.0702613964676857","10","0.971304830384624","0.006015275546125478","2.70172381401062","0.06293822079896927","","","","","","0.971304830384624","","","","","","0.006015275546125478","","","","","","2.70172381401062","","","","","","0.06293822079896927","0.20976942777633667","0","0.10488471388816832","370","0.9593845702877856","0.04483113323070194","2.819941759109497","0.07326649129390717","0.2705174386501312","","","","","","0.9593845702877856","","","","","","0.04483113323070194","","","","","","2.819941759109497","","","","","","0.07326649129390717","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fiery-jazz-529","finished","-","","","2024-06-12T15:09:21.000Z","1420","","32","SBAD","1500","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","0","1","unet","","","","","","","","","","42","1","1","","0.977190263843308","0.010883990828832246","2.1674795150756836","0.051424168050289154","","","","","","0.977190263843308","","","","","","0.010883990828832246","","","","","","2.1674795150756836","","","","","","0.051424168050289154","0.12270040065050124","0.12780891358852386","0.12525466084480286","0.9627932417023648","0.02094257553765696","2.8685379028320312","0.06662026792764664","0.24141211807727816","","","","","","0.9627932417023648","","","","","","0.02094257553765696","","","","","","2.8685379028320312","","","","","","0.06662026792764664","10","0.9767782304487514","0.018890779641265933","2.4994380474090576","0.05288643762469292","","","","","","0.9767782304487514","","","","","","0.018890779641265933","","","","","","2.4994380474090576","","","","","","0.05288643762469292","0.17895983159542084","0","0.08947991579771042","370","0.9614147028529332","0.06681622204826222","3.4317545890808105","0.07613243162631989","0.2715807855129242","","","","","","0.9614147028529332","","","","","","0.06681622204826222","","","","","","3.4317545890808105","","","","","","0.07613243162631989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"light-capybara-529","finished","-","","","2024-06-12T15:09:21.000Z","1415","","32","SBAD","1500","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","0","1","unet","","","","","","","","","","42","1","4","","0.8666304322147678","0.023675527563110196","4.537920951843262","0.10694606602191924","","","","","","","","","","","","","","","","","","","","","","","","","0.2794483006000519","0.28274354338645935","0.2810959219932556","0.8616341322847043","0.1094380444421172","4.825568675994873","0.140701562166214","0.4484562277793884","","","","","","","","","","","","","","","","","","","","","","","","","10","0.8667456984365005","0.026398291339664925","4.549864768981934","0.10764659941196442","","","","","","","","","","","","","","","","","","","","","","","","","0.236753448843956","0","0.118376724421978","370","0.8658550162808214","0.12447824456553362","5.086187839508057","0.15545077621936798","0.46572327613830566","","","","","","","","","","","","","","","","","","","","","","","","","","0.8666304322147678","","0.023675527563110196","","4.537920951843262","","0.10694606602191924","","0.8616341322847043","","0.1094380444421172","","4.825568675994873","","0.140701562166214","","0.8667456984365005","","0.026398291339664925","","4.549864768981934","","0.10764659941196442","","0.8658550162808214","","0.12447824456553362","","5.086187839508057","","0.15545077621936798"
"silvery-sweep-27","finished","-","","","2024-06-12T14:13:47.000Z","1177","fvlf50tj","32","SBAD","1500","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","8","1","unet","","","","","","","","","","42","1","4","","0.8735751828025936","0.05671452766096831","4.718395709991455","0.09609507024288176","","","","","","","","","","","","","","","","","","","","","","","","","0.2764328122138977","0.27967625856399536","0.27805453538894653","0.8565731785128532","0.10968022542356153","5.123378753662109","0.14688453078269958","0.45219847559928894","","","","","","","","","","","","","","","","","","","","","","","","","10","0.8677729391803648","0.059140239968687607","4.782482624053955","0.0984116643667221","","","","","","","","","","","","","","","","","","","","","","","","","0.12971866130828855","0","0.06485933065414429","370","0.8767926965184005","0.12523033650567608","4.915379047393799","0.1525026708841324","0.4660905003547669","","","","","","","","","","","","","","","","","","","","","","","","","","0.8735751828025936","","0.05671452766096831","","4.718395709991455","","0.09609507024288176","","0.8565731785128532","","0.10968022542356153","","5.123378753662109","","0.14688453078269958","","0.8677729391803648","","0.059140239968687607","","4.782482624053955","","0.0984116643667221","","0.8767926965184005","","0.12523033650567608","","4.915379047393799","","0.1525026708841324"
"pious-sweep-26","finished","-","","","2024-06-12T14:03:59.000Z","1240","fvlf50tj","32","SBAD","1500","25","10","1","bin","1","/home/students/s265780/data/SBAD","0.0001","","","","20","8","1","unet","","","","","","","","","","42","1","3","","0.9371392609561956","0.05662437571069153","4.034525394439697","0.09527665376663208","","","","","","","","","","","","","","","","","","","","","","","","","0.24436037242412567","0.2475750148296356","0.24596768617630005","0.8863364645379164","0.06296628634355517","4.441136360168457","0.12607450783252716","0.4102519750595093","","","","","","","","","","","","","","","","","","","","","","","","","10","0.9367700644221192","0.020969332613177495","3.94992733001709","0.09121032804250716","","","","","","","","","","","","","","","","","","","","","","","","","0.19917342066764832","0","0.09958671033382416","370","0.8910166946237552","0.05590027010077632","4.460597991943359","0.12269918620586397","0.3995579779148102","","","","","","","","","","","","","","","","","","","","","","","","","0.9371392609561956","","0.05662437571069153","","4.034525394439697","","0.09527665376663208","","0.8863364645379164","","0.06296628634355517","","4.441136360168457","","0.12607450783252716","","0.9367700644221192","","0.020969332613177495","","3.94992733001709","","0.09121032804250716","","0.8910166946237552","","0.05590027010077632","","4.460597991943359","","0.12269918620586397",""
