"epoch","CAPE - _step","CAPE - _step__MIN","CAPE - _step__MAX","train/loss","CAPE - train/loss__MIN","CAPE - train/loss__MAX"
"0","4.5","0","9","0.2324499025940895","0.18656474351882935","0.3461816608905792"
"1","15.5","11","20","0.213677316904068","0.19272960722446442","0.23561671376228333"
"2","26.5","22","31","0.20557668060064316","0.18985305726528168","0.22610768675804138"
"3","37.5","33","42","0.20099793821573259","0.19117732346057892","0.2274208962917328"
"4","48.5","44","53","0.1992648497223854","0.17874225974082947","0.21708154678344727"
"5","59.5","55","64","0.19852183908224105","0.18822208046913147","0.20687519013881683"
"6","70.5","66","75","0.1975830540060997","0.1850266009569168","0.21681275963783264"
"7","81.5","77","86","0.1969539478421211","0.18055249750614166","0.20795050263404846"
"8","92.5","88","97","0.1974576860666275","0.18759307265281677","0.2118190973997116"
"9","103.5","99","108","0.19864752888679504","0.17620807886123657","0.2138657420873642"
"10","114.5","110","119","0.19743378907442094","0.17723925411701202","0.2159084677696228"
"11","125.5","121","130","0.19710887521505355","0.17904998362064362","0.20987047255039215"
"12","136.5","132","141","0.19713064432144164","0.18150724470615387","0.2073262631893158"
"13","147.5","143","152","0.19744836688041686","0.18063633143901825","0.22958505153656006"
"14","158.5","154","163","0.1977257549762726","0.18316510319709778","0.21404029428958893"
"15","169.5","165","174","0.19593652486801147","0.18192535638809204","0.2202681452035904"
"16","180.5","176","185","0.1963872119784355","0.17884553968906403","0.2080388367176056"
"17","191.5","187","196","0.19593112170696259","0.17841871082782745","0.2082175463438034"
"18","202.5","198","207","0.19448435455560684","0.1783468872308731","0.20861127972602844"
"19","213.5","209","218","0.19517779648303984","0.17809395492076874","0.2089698761701584"
"20","224.5","220","229","0.1949687197804451","0.183085098862648","0.2102658450603485"
"21","235.5","231","240","0.1953711599111557","0.1855667680501938","0.2066424936056137"
"22","246.5","242","251","0.19732007682323455","0.18903575837612152","0.21730533242225647"
"23","257.5","253","262","0.1978863447904587","0.18871749937534332","0.21023334562778473"
"24","268.5","264","273","0.19705288112163544","0.18316775560379028","0.21342922747135162"
"25","279.5","275","284","0.19724141657352448","0.1786521077156067","0.21054679155349731"
"26","290.5","286","295","0.197272489964962","0.1819174736738205","0.21414901316165924"
"27","301.5","297","306","0.19797709882259368","0.17868174612522125","0.22069719433784485"
"28","312.5","308","317","0.1988748475909233","0.18881718814373016","0.20907966792583466"
"29","323.5","319","328","0.1972208082675934","0.17968222498893738","0.20750564336776733"
"30","334.5","330","339","0.19940257519483567","0.1852070689201355","0.21272628009319305"
"31","345.5","341","350","0.19762575030326843","0.17916111648082733","0.20832854509353638"
"32","356.5","352","361","0.19611805826425552","0.18160511553287506","0.2040809839963913"
"33","367.5","363","372","0.19689213037490844","0.18581511080265045","0.20888468623161316"
"34","378.5","374","383","0.19663781821727752","0.18025340139865875","0.21201494336128235"
"35","389.5","385","394","0.19770910441875458","0.17407912015914917","0.2186139076948166"
"36","400.5","396","405","0.19683294296264647","0.17759516835212708","0.21862296760082245"
"37","411.5","407","416","0.19671286046504974","0.1807911992073059","0.219965860247612"
"38","422.5","418","427","0.19674994945526122","0.17293795943260193","0.21601015329360962"
"39","433.5","429","438","0.19827730655670167","0.18240515887737274","0.21393939852714539"
"40","444.5","440","449","0.1973925083875656","0.1795700192451477","0.20696860551834106"
"41","455.5","451","460","0.19715091586112976","0.1845121681690216","0.21094578504562378"
"42","466.5","462","471","0.1970258265733719","0.18508806824684143","0.21438975632190704"
"43","477.5","473","482","0.19597290754318236","0.18556638062000275","0.20276707410812378"
"44","488.5","484","493","0.1951388269662857","0.18198071420192719","0.20799675583839417"
"45","499.5","495","504","0.19517040103673935","0.17658492922782898","0.20983736217021942"
"46","510.5","506","515","0.19501536339521408","0.17006522417068481","0.21765264868736267"
"47","521.5","517","526","0.19463121891021729","0.18735700845718384","0.20086757838726044"
"48","532.5","528","537","0.19489815831184387","0.17887987196445465","0.20759053528308868"
"49","543.5","539","548","0.19570527821779252","0.1782984435558319","0.2067538946866989"
"50","554.5","550","559","0.19461241215467454","0.17590491473674774","0.21530134975910187"
"51","565.5","561","570","0.19577902257442475","0.1860324591398239","0.2066090703010559"
"52","576.5","572","581","0.19508703351020812","0.18318745493888855","0.2053312212228775"
"53","587.5","583","592","0.19473597556352615","0.18610617518424988","0.20563869178295135"
"54","598.5","594","603","0.19465242624282836","0.17579394578933716","0.20912869274616241"
"55","609.5","605","614","0.1946382775902748","0.18476909399032593","0.21001099050045013"
"56","620.5","616","625","0.19481754451990127","0.18540449440479279","0.20522044599056244"
"57","631.5","627","636","0.19469219595193862","0.18437312543392181","0.20497700572013855"
"58","642.5","638","647","0.19459724873304368","0.175675168633461","0.22102762758731842"
"59","653.5","649","658","0.19454141557216645","0.1799251139163971","0.20411823689937592"
"60","664.5","660","669","0.19433867782354355","0.17125636339187622","0.21575333178043365"
"61","675.5","671","680","0.19429054111242294","0.17601487040519714","0.21435579657554626"
"62","686.5","682","691","0.1942681685090065","0.17816171050071716","0.2073737531900406"
"63","697.5","693","702","0.19458700120449066","0.17898587882518768","0.2052144706249237"
"64","708.5","704","713","0.19411467462778093","0.18167679011821747","0.20917274057865143"
"65","719.5","715","724","0.1940196141600609","0.17671482264995575","0.20583143830299377"
"66","730.5","726","735","0.19411828219890595","0.18837200105190277","0.21609027683734894"
"67","741.5","737","746","0.19364079385995864","0.1796320527791977","0.20581355690956116"
"68","752.5","748","757","0.1952878326177597","0.18872076272964478","0.20790816843509674"
"69","763.5","759","768","0.1949733480811119","0.17727608978748322","0.21713538467884064"
"70","774.5","770","779","0.193704654276371","0.1860807090997696","0.2029661238193512"
"71","785.5","781","790","0.19396252185106277","0.17678818106651306","0.20545335114002228"
"72","796.5","792","801","0.19454456567764283","0.17839954793453217","0.21279560029506683"
"73","807.5","803","812","0.1942184627056122","0.18287970125675201","0.20906300842761993"
"74","818.5","814","823","0.19361923187971114","0.17926622927188873","0.20898252725601196"
"75","829.5","825","834","0.19372744709253312","0.17575205862522125","0.21571819484233856"
"76","840.5","836","845","0.19362746626138688","0.17066286504268646","0.20817238092422485"
"77","851.5","847","856","0.19450664520263672","0.17553429305553436","0.20919881761074066"
"78","862.5","858","867","0.19357244223356246","0.18118196725845337","0.21298931539058685"
"79","873.5","869","878","0.1940562218427658","0.1702144294977188","0.2110285460948944"
