"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","n_split","test/AUC","test/ECE","test/KL","test/brierScore","test_metric/AUC 1","test_metric/ECE 1","test_metric/KL 1","test_metric/brierScore 1","train/BCE","train/CAPE","train/loss","val/AUC","val/ECE","val/KL","val/brierScore","val/loss","val_metric/AUC 1","val_metric/ECE 1","val_metric/KL 1","val_metric/brierScore 1","Agent","State","User","Group","Job Type","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","batch_size","case_study","code_version","epochs","epochs_fn","fine_tune","finetune_type","forward_passes","indx_thresh","input_path","lr","lr1","lr2","mcdropout","method","metric.goal","metric.name","model_1_hparams.batch_size","model_1_hparams.case_study","model_1_hparams.epochs","model_1_hparams.input_path","model_1_hparams.lr","model_1_hparams.lr1","model_1_hparams.lr2","model_1_hparams.n_split","model_1_hparams.network_model","model_1_hparams.output_path","model_1_hparams.seed","model_1_hparams.sigmoid_threshold","model_1_hparams.split_idx","model_1_hparams.where_threshold","model_1_hparams.where_threshold_H","model_1_hparams.where_threshold_L","model_1_params.cnn.d11.bias","model_1_params.cnn.d11.weight","model_1_params.cnn.d12.bias","model_1_params.cnn.d12.weight","model_1_params.cnn.d21.bias","model_1_params.cnn.d21.weight","model_1_params.cnn.d22.bias","model_1_params.cnn.d22.weight","model_1_params.cnn.d31.bias","model_1_params.cnn.d31.weight","model_1_params.cnn.d32.bias","model_1_params.cnn.d32.weight","model_1_params.cnn.d41.bias","model_1_params.cnn.d41.weight","model_1_params.cnn.d42.bias","model_1_params.cnn.d42.weight","model_1_params.cnn.e11.bias","model_1_params.cnn.e11.weight","model_1_params.cnn.e12.bias","model_1_params.cnn.e12.weight","model_1_params.cnn.e21.bias","model_1_params.cnn.e21.weight","model_1_params.cnn.e22.bias","model_1_params.cnn.e22.weight","model_1_params.cnn.e31.bias","model_1_params.cnn.e31.weight","model_1_params.cnn.e32.bias","model_1_params.cnn.e32.weight","model_1_params.cnn.e41.bias","model_1_params.cnn.e41.weight","model_1_params.cnn.e42.bias","model_1_params.cnn.e42.weight","model_1_params.cnn.e51.bias","model_1_params.cnn.e51.weight","model_1_params.cnn.e52.bias","model_1_params.cnn.e52.weight","model_1_params.cnn.outconv.bias","model_1_params.cnn.outconv.weight","model_1_params.cnn.upconv1.bias","model_1_params.cnn.upconv1.weight","model_1_params.cnn.upconv2.bias","model_1_params.cnn.upconv2.weight","model_1_params.cnn.upconv3.bias","model_1_params.cnn.upconv3.weight","model_1_params.cnn.upconv4.bias","model_1_params.cnn.upconv4.weight","n_splt","n_thresh","network_model","output_path","parameters.epochss","parameters.epochs_fns","parameters.fine_tunes","parameters.indx_threshs","parameters.n_splits","parameters.n_threshs","program","seed","sigmoid_threshold","split_idx","where_threshold","where_threshold_H","where_threshold_L","Brier score 1 mm","Brier score 10 mm","Brier score 100 mm","Brier score 150 mm","Brier score 20 mm","Brier score 5 mm","Brier score 50 mm","ECE 1 mm","ECE 10 mm","ECE 100 mm","ECE 150 mm","ECE 20 mm","ECE 5 mm","ECE 50 mm","KL 1 mm","KL 10 mm","KL 100 mm","KL 150 mm","KL 20 mm","KL 5 mm","KL 50 mm","MCD_csi_1.0","MCD_csi_10.0","MCD_csi_100.0","MCD_csi_150.0","MCD_csi_20.0","MCD_csi_5.0","MCD_csi_50.0","MCD_ets_1.0","MCD_ets_10.0","MCD_ets_100.0","MCD_ets_150.0","MCD_ets_20.0","MCD_ets_5.0","MCD_ets_50.0","MCD_freqbias_1.0","MCD_freqbias_10.0","MCD_freqbias_100.0","MCD_freqbias_150.0","MCD_freqbias_20.0","MCD_freqbias_5.0","MCD_freqbias_50.0","MSEp_loss","epoch","lr-Adam","rmse NWP 0","rmse NWP 1","rmse NWP 2","rmse NWP 3","test rmse","test variance","test/AUC 1","test/AUC 1.0","test/AUC 10","test/AUC 10.0","test/AUC 100","test/AUC 100.0","test/AUC 150","test/AUC 150.0","test/AUC 20","test/AUC 20.0","test/AUC 5","test/AUC 5.0","test/AUC 50","test/AUC 50.0","test/ECE 1","test/ECE 1 mm","test/ECE 1.0","test/ECE 10","test/ECE 10 mm","test/ECE 10.0","test/ECE 100","test/ECE 100 mm","test/ECE 100.0","test/ECE 150","test/ECE 150 mm","test/ECE 150.0","test/ECE 20","test/ECE 20 mm","test/ECE 20.0","test/ECE 5","test/ECE 5 mm","test/ECE 5.0","test/ECE 50","test/ECE 50 mm","test/ECE 50.0","test/KL 1","test/KL 1 mm","test/KL 1.0","test/KL 10","test/KL 10 mm","test/KL 10.0","test/KL 100","test/KL 100 mm","test/KL 100.0","test/KL 150","test/KL 150 mm","test/KL 150.0","test/KL 20","test/KL 20 mm","test/KL 20.0","test/KL 5","test/KL 5 mm","test/KL 5.0","test/KL 50","test/KL 50 mm","test/KL 50.0","test/brierScore 1","test/brierScore 1.0","test/brierScore 10","test/brierScore 10.0","test/brierScore 100","test/brierScore 100.0","test/brierScore 150","test/brierScore 150.0","test/brierScore 20","test/brierScore 20.0","test/brierScore 5","test/brierScore 5.0","test/brierScore 50","test/brierScore 50.0","test_MSEp","test_csi_1.0","test_csi_10.0","test_csi_100.0","test_csi_150.0","test_csi_20.0","test_csi_5.0","test_csi_50.0","test_ets_1.0","test_ets_10.0","test_ets_100.0","test_ets_150.0","test_ets_20.0","test_ets_5.0","test_ets_50.0","test_freqbias_1.0","test_freqbias_10.0","test_freqbias_100.0","test_freqbias_150.0","test_freqbias_20.0","test_freqbias_5.0","test_freqbias_50.0","test_iou","test_iou_H","test_iou_L","test_iou_LH","test_loss_segm","test_metric/AUC 10","test_metric/AUC 100","test_metric/AUC 150","test_metric/AUC 20","test_metric/AUC 5","test_metric/AUC 50","test_metric/ECE 10","test_metric/ECE 100","test_metric/ECE 150","test_metric/ECE 20","test_metric/ECE 5","test_metric/ECE 50","test_metric/KL 10","test_metric/KL 100","test_metric/KL 150","test_metric/KL 20","test_metric/KL 5","test_metric/KL 50","test_metric/brierScore 10","test_metric/brierScore 100","test_metric/brierScore 150","test_metric/brierScore 20","test_metric/brierScore 5","test_metric/brierScore 50","train_CrossEntropyloss","train_L1loss","train_brier_score","train_loss","train_loss_2","train_loss_regr","train_loss_segm","train_rmse","trainer/global_step","val/AUC 1","val/AUC 10","val/AUC 100","val/AUC 150","val/AUC 20","val/AUC 5","val/AUC 50","val/ECE 1","val/ECE 10","val/ECE 100","val/ECE 150","val/ECE 20","val/ECE 5","val/ECE 50","val/KL 1","val/KL 10","val/KL 100","val/KL 150","val/KL 20","val/KL 5","val/KL 50","val/brierScore 1","val/brierScore 10","val/brierScore 100","val/brierScore 150","val/brierScore 20","val/brierScore 5","val/brierScore 50","val_IntOverUnion","val_csi_1.0","val_csi_10.0","val_csi_100.0","val_csi_150.0","val_csi_20.0","val_csi_5.0","val_csi_50.0","val_ets_1.0","val_ets_10.0","val_ets_100.0","val_ets_150.0","val_ets_20.0","val_ets_5.0","val_ets_50.0","val_freqbias_1.0","val_freqbias_10.0","val_freqbias_100.0","val_freqbias_150.0","val_freqbias_20.0","val_freqbias_5.0","val_freqbias_50.0","val_iou","val_loss","val_loss_2","val_loss_segm","val_metric/AUC 10","val_metric/AUC 100","val_metric/AUC 150","val_metric/AUC 20","val_metric/AUC 5","val_metric/AUC 50","val_metric/ECE 10","val_metric/ECE 100","val_metric/ECE 150","val_metric/ECE 20","val_metric/ECE 5","val_metric/ECE 50","val_metric/KL 10","val_metric/KL 100","val_metric/KL 150","val_metric/KL 20","val_metric/KL 5","val_metric/KL 50","val_metric/brierScore 10","val_metric/brierScore 100","val_metric/brierScore 150","val_metric/brierScore 20","val_metric/brierScore 5","val_metric/brierScore 50","val_rmse"
"splendid-sweep-27","2024-05-27T10:03:45.000Z","729","2024-05-27T10:15:54.000Z","lal6jyvc","-","2024-05-27T10:15:54.000Z","","8","0.9375266773223996","0.0257263212595318","3.9202260971069336","0.08517694473266602","","","","","0.2816717028617859","0.2851793169975281","0.283425509929657","0.8645520642074203","0.0268223129605591","1.5557926893234253","0.028480874374508858","0.12129858136177064","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9375266773223996","","","","","","0.0257263212595318","","","","","","3.9202260971069336","","","","","","0.08517694473266602","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8645520642074203","","","","","","0.0268223129605591","","","","","","1.5557926893234253","","","","","","0.028480874374508858","","","","","",""
"driven-sweep-26","2024-05-27T09:59:11.000Z","768","2024-05-27T10:11:59.000Z","1d6nah3c","-","2024-05-27T10:11:59.000Z","","7","0.9356801726387728","0.022390135647823554","3.9361839294433594","0.09334183484315872","","","","","0.2983142137527466","0.30085504055023193","0.29958462715148926","0.86617713767481","0.022026719680308383","1.4723373651504517","0.02871551550924778","0.11984230577945708","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9356801726387728","","","","","","0.022390135647823554","","","","","","3.9361839294433594","","","","","","0.09334183484315872","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86617713767481","","","","","","0.022026719680308383","","","","","","1.4723373651504517","","","","","","0.02871551550924778","","","","","",""
"fancy-sweep-25","2024-05-27T09:58:14.000Z","774","2024-05-27T10:11:08.000Z","8k6ws4is","-","2024-05-27T10:11:08.000Z","","6","0.9011403207892292","0.01668119226964046","3.97996187210083","0.095878466963768","","","","","0.3101133108139038","0.312328040599823","0.3112206757068634","0.8777279754305679","0.03744157955936687","1.701777100563049","0.02884838357567787","0.12375495582818984","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9011403207892292","","","","","","0.01668119226964046","","","","","","3.97996187210083","","","","","","0.095878466963768","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8777279754305679","","","","","","0.03744157955936687","","","","","","1.701777100563049","","","","","","0.02884838357567787","","","","","",""
"expert-sweep-24","2024-05-27T09:56:20.000Z","785","2024-05-27T10:09:25.000Z","41hjptqe","-","2024-05-27T10:09:25.000Z","","5","0.8989109658711876","0.04531278889986776","4.4606523513793945","0.11305680871009828","","","","","0.25236356258392334","0.255376398563385","0.2538699805736542","0.8674326005892362","0.019450616403053338","1.4234009981155396","0.0278144683688879","0.11660630255937576","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8989109658711876","","","","","","0.04531278889986776","","","","","","4.4606523513793945","","","","","","0.11305680871009828","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8674326005892362","","","","","","0.019450616403053338","","","","","","1.4234009981155396","","","","","","0.0278144683688879","","","","","",""
"major-sweep-23","2024-05-27T09:50:55.000Z","765","2024-05-27T10:03:40.000Z","kt3gq976","-","2024-05-27T10:03:40.000Z","","4","0.914101347894342","0.08864669628885276","4.662475109100342","0.11294142156839372","","","","","0.308723509311676","0.3120344281196594","0.3103789687156677","0.8811792219597188","0.032716048672981626","1.585303544998169","0.028312256559729576","0.12006903439760208","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.914101347894342","","","","","","0.08864669628885276","","","","","","4.662475109100342","","","","","","0.11294142156839372","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8811792219597188","","","","","","0.032716048672981626","","","","","","1.585303544998169","","","","","","0.028312256559729576","","","","","",""
"classic-sweep-22","2024-05-27T09:47:04.000Z","723","2024-05-27T09:59:07.000Z","q3v986xb","-","2024-05-27T09:59:07.000Z","","3","0.882714988906161","0.030808593857719113","4.336978435516357","0.10839316248893738","","","","","0.33433297276496887","0.3393459618091583","0.3368394672870636","0.8834729840756066","0.02846932050324067","1.521478295326233","0.02785392105579376","0.1162017211318016","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.882714988906161","","","","","","0.030808593857719113","","","","","","4.336978435516357","","","","","","0.10839316248893738","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8834729840756066","","","","","","0.02846932050324067","","","","","","1.521478295326233","","","","","","0.02785392105579376","","","","","",""
"olive-sweep-21","2024-05-27T09:44:59.000Z","787","2024-05-27T09:58:06.000Z","xjvrk805","-","2024-05-27T09:58:06.000Z","","2","0.9118484568248764","0.02294621390457011","3.6761605739593506","0.09294821321964264","","","","","0.3229835331439972","0.32728520035743713","0.32513436675071716","0.8546544834982596","0.03235460554336338","1.6481953859329224","0.02973323315382004","0.127082496881485","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9118484568248764","","","","","","0.02294621390457011","","","","","","3.6761605739593506","","","","","","0.09294821321964264","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8546544834982596","","","","","","0.03235460554336338","","","","","","1.6481953859329224","","","","","","0.02973323315382004","","","","","",""
"splendid-sweep-20","2024-05-27T09:43:12.000Z","783","2024-05-27T09:56:15.000Z","xm61bv5o","-","2024-05-27T09:56:15.000Z","","1","0.8253231999245766","0.03435695060472162","4.080696105957031","0.10548239946365356","","","","","0.32053303718566895","0.32353225350379944","0.322032630443573","0.8626794910468838","0.02210750132256879","1.4566811323165894","0.02754153683781624","0.11622805893421172","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8253231999245766","","","","","","0.03435695060472162","","","","","","4.080696105957031","","","","","","0.10548239946365356","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8626794910468838","","","","","","0.02210750132256879","","","","","","1.4566811323165894","","","","","","0.02754153683781624","","","","","",""
"swift-sweep-19","2024-05-27T09:38:06.000Z","760","2024-05-27T09:50:46.000Z","9dhwadr7","-","2024-05-27T09:50:46.000Z","","0","0.8909246610543033","0.022010389731264235","3.5425260066986084","0.08990180492401123","","","","","0.2704002261161804","0.27441930770874023","0.2724097669124603","0.85869160719049","0.032299001662855945","1.6501433849334717","0.028606953099370003","0.12470898032188416","","","","","","finished","","","","1 th fine tune","jupyter-s265780","","56737e2781ab3fa742bb35caad9da4e3a9a424d0","","","","32","24h_10mmMAX_OI","5","50","50","1","bin","1","2","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","unet","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8909246610543033","","","","","","0.022010389731264235","","","","","","3.5425260066986084","","","","","","0.08990180492401123","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85869160719049","","","","","","0.032299001662855945","","","","","","1.6501433849334717","","","","","","0.028606953099370003","","","","","",""
