"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","case_study","code_version","epochs","epochs_fn","fine_tune","finetune_type","forward_passes","indx_thresh","input_path","lr","lr1","lr2","mcdropout","method","metric.goal","metric.name","model_1_hparams.batch_size","model_1_hparams.case_study","model_1_hparams.epochs","model_1_hparams.input_path","model_1_hparams.lr","model_1_hparams.lr1","model_1_hparams.lr2","model_1_hparams.n_split","model_1_hparams.network_model","model_1_hparams.output_path","model_1_hparams.seed","model_1_hparams.sigmoid_threshold","model_1_hparams.split_idx","model_1_hparams.where_threshold","model_1_hparams.where_threshold_H","model_1_hparams.where_threshold_L","model_1_params.cnn.d11.bias","model_1_params.cnn.d11.weight","model_1_params.cnn.d12.bias","model_1_params.cnn.d12.weight","model_1_params.cnn.d21.bias","model_1_params.cnn.d21.weight","model_1_params.cnn.d22.bias","model_1_params.cnn.d22.weight","model_1_params.cnn.d31.bias","model_1_params.cnn.d31.weight","model_1_params.cnn.d32.bias","model_1_params.cnn.d32.weight","model_1_params.cnn.d41.bias","model_1_params.cnn.d41.weight","model_1_params.cnn.d42.bias","model_1_params.cnn.d42.weight","model_1_params.cnn.e11.bias","model_1_params.cnn.e11.weight","model_1_params.cnn.e12.bias","model_1_params.cnn.e12.weight","model_1_params.cnn.e21.bias","model_1_params.cnn.e21.weight","model_1_params.cnn.e22.bias","model_1_params.cnn.e22.weight","model_1_params.cnn.e31.bias","model_1_params.cnn.e31.weight","model_1_params.cnn.e32.bias","model_1_params.cnn.e32.weight","model_1_params.cnn.e41.bias","model_1_params.cnn.e41.weight","model_1_params.cnn.e42.bias","model_1_params.cnn.e42.weight","model_1_params.cnn.e51.bias","model_1_params.cnn.e51.weight","model_1_params.cnn.e52.bias","model_1_params.cnn.e52.weight","model_1_params.cnn.outconv.bias","model_1_params.cnn.outconv.weight","model_1_params.cnn.upconv1.bias","model_1_params.cnn.upconv1.weight","model_1_params.cnn.upconv2.bias","model_1_params.cnn.upconv2.weight","model_1_params.cnn.upconv3.bias","model_1_params.cnn.upconv3.weight","model_1_params.cnn.upconv4.bias","model_1_params.cnn.upconv4.weight","n_split","n_splt","n_thresh","network_model","output_path","parameters.epochss","parameters.fine_tunes","parameters.indx_threshs","parameters.n_splits","parameters.n_threshs","program","seed","sigmoid_threshold","split_idx","where_threshold","where_threshold_H","where_threshold_L","Brier score 1 mm","Brier score 10 mm","Brier score 100 mm","Brier score 150 mm","Brier score 20 mm","Brier score 5 mm","Brier score 50 mm","ECE 1 mm","ECE 10 mm","ECE 100 mm","ECE 150 mm","ECE 20 mm","ECE 5 mm","ECE 50 mm","KL 1 mm","KL 10 mm","KL 100 mm","KL 150 mm","KL 20 mm","KL 5 mm","KL 50 mm","MCD_csi_1.0","MCD_csi_10.0","MCD_csi_100.0","MCD_csi_150.0","MCD_csi_20.0","MCD_csi_5.0","MCD_csi_50.0","MCD_ets_1.0","MCD_ets_10.0","MCD_ets_100.0","MCD_ets_150.0","MCD_ets_20.0","MCD_ets_5.0","MCD_ets_50.0","MCD_freqbias_1.0","MCD_freqbias_10.0","MCD_freqbias_100.0","MCD_freqbias_150.0","MCD_freqbias_20.0","MCD_freqbias_5.0","MCD_freqbias_50.0","MSEp_loss","epoch","lr-Adam","rmse NWP 0","rmse NWP 1","rmse NWP 2","rmse NWP 3","test rmse","test variance","test/AUC","test/AUC 1","test/AUC 1.0","test/AUC 10","test/AUC 10.0","test/AUC 100","test/AUC 100.0","test/AUC 150","test/AUC 150.0","test/AUC 20","test/AUC 20.0","test/AUC 5","test/AUC 5.0","test/AUC 50","test/AUC 50.0","test/ECE","test/ECE 1","test/ECE 1 mm","test/ECE 1.0","test/ECE 10","test/ECE 10 mm","test/ECE 10.0","test/ECE 100","test/ECE 100 mm","test/ECE 100.0","test/ECE 150","test/ECE 150 mm","test/ECE 150.0","test/ECE 20","test/ECE 20 mm","test/ECE 20.0","test/ECE 5","test/ECE 5 mm","test/ECE 5.0","test/ECE 50","test/ECE 50 mm","test/ECE 50.0","test/KL","test/KL 1","test/KL 1 mm","test/KL 1.0","test/KL 10","test/KL 10 mm","test/KL 10.0","test/KL 100","test/KL 100 mm","test/KL 100.0","test/KL 150","test/KL 150 mm","test/KL 150.0","test/KL 20","test/KL 20 mm","test/KL 20.0","test/KL 5","test/KL 5 mm","test/KL 5.0","test/KL 50","test/KL 50 mm","test/KL 50.0","test/brierScore","test/brierScore 1","test/brierScore 1.0","test/brierScore 10","test/brierScore 10.0","test/brierScore 100","test/brierScore 100.0","test/brierScore 150","test/brierScore 150.0","test/brierScore 20","test/brierScore 20.0","test/brierScore 5","test/brierScore 5.0","test/brierScore 50","test/brierScore 50.0","test_MSEp","test_csi_1.0","test_csi_10.0","test_csi_100.0","test_csi_150.0","test_csi_20.0","test_csi_5.0","test_csi_50.0","test_ets_1.0","test_ets_10.0","test_ets_100.0","test_ets_150.0","test_ets_20.0","test_ets_5.0","test_ets_50.0","test_freqbias_1.0","test_freqbias_10.0","test_freqbias_100.0","test_freqbias_150.0","test_freqbias_20.0","test_freqbias_5.0","test_freqbias_50.0","test_iou","test_iou_H","test_iou_L","test_iou_LH","test_loss_segm","test_metric/AUC 1","test_metric/AUC 10","test_metric/AUC 100","test_metric/AUC 150","test_metric/AUC 20","test_metric/AUC 5","test_metric/AUC 50","test_metric/ECE 1","test_metric/ECE 10","test_metric/ECE 100","test_metric/ECE 150","test_metric/ECE 20","test_metric/ECE 5","test_metric/ECE 50","test_metric/KL 1","test_metric/KL 10","test_metric/KL 100","test_metric/KL 150","test_metric/KL 20","test_metric/KL 5","test_metric/KL 50","test_metric/brierScore 1","test_metric/brierScore 10","test_metric/brierScore 100","test_metric/brierScore 150","test_metric/brierScore 20","test_metric/brierScore 5","test_metric/brierScore 50","train/BCE","train/CAPE","train/loss","train_CrossEntropyloss","train_L1loss","train_brier_score","train_loss","train_loss_2","train_loss_regr","train_loss_segm","train_rmse","trainer/global_step","val/AUC","val/AUC 1","val/AUC 10","val/AUC 100","val/AUC 150","val/AUC 20","val/AUC 5","val/AUC 50","val/ECE","val/ECE 1","val/ECE 10","val/ECE 100","val/ECE 150","val/ECE 20","val/ECE 5","val/ECE 50","val/KL","val/KL 1","val/KL 10","val/KL 100","val/KL 150","val/KL 20","val/KL 5","val/KL 50","val/brierScore","val/brierScore 1","val/brierScore 10","val/brierScore 100","val/brierScore 150","val/brierScore 20","val/brierScore 5","val/brierScore 50","val/loss","val_IntOverUnion","val_csi_1.0","val_csi_10.0","val_csi_100.0","val_csi_150.0","val_csi_20.0","val_csi_5.0","val_csi_50.0","val_ets_1.0","val_ets_10.0","val_ets_100.0","val_ets_150.0","val_ets_20.0","val_ets_5.0","val_ets_50.0","val_freqbias_1.0","val_freqbias_10.0","val_freqbias_100.0","val_freqbias_150.0","val_freqbias_20.0","val_freqbias_5.0","val_freqbias_50.0","val_iou","val_loss","val_loss_2","val_loss_segm","val_metric/AUC 1","val_metric/AUC 10","val_metric/AUC 100","val_metric/AUC 150","val_metric/AUC 20","val_metric/AUC 5","val_metric/AUC 50","val_metric/ECE 1","val_metric/ECE 10","val_metric/ECE 100","val_metric/ECE 150","val_metric/ECE 20","val_metric/ECE 5","val_metric/ECE 50","val_metric/KL 1","val_metric/KL 10","val_metric/KL 100","val_metric/KL 150","val_metric/KL 20","val_metric/KL 5","val_metric/KL 50","val_metric/brierScore 1","val_metric/brierScore 10","val_metric/brierScore 100","val_metric/brierScore 150","val_metric/brierScore 20","val_metric/brierScore 5","val_metric/brierScore 50","val_rmse"
"clean-sweep-54","","finished","-","","","2024-05-23T14:53:59.000Z","1175","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.9916387942408972","","","","","","","","","","","","","","","0.00030878795392225535","","","","","","","","","","","","","","","","","","","","","","0.20549672842025757","","","","","","","","","","","","","","","","","","","","","","0.005378578789532185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9916387942408972","","","","","","","0.00030878795392225535","","","","","","","0.20549672842025757","","","","","","","0.005378578789532185","","","","","0.0007532212184742093","0","0.0007532212184742093","","","","","","","","","800","1","","","","","","","","0.00011594087587738136","","","","","","","","0.001886611804366112","","","","","","","","0.0000014247167428038663","","","","","","","","0.00011667018407024445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.00011594087587738136","","","","","","","0.001886611804366112","","","","","","","0.0000014247167428038663","","","","",""
"stellar-sweep-53","","finished","-","","","2024-05-23T14:53:36.000Z","1023","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.984839932343922","","","","","","","","","","","","","","","0.0023495970305319586","","","","","","","","","","","","","","","","","","","","","","0.1283564418554306","","","","","","","","","","","","","","","","","","","","","","0.0039891586638987064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.984839932343922","","","","","","","0.0023495970305319586","","","","","","","0.1283564418554306","","","","","","","0.0039891586638987064","","","","","0.007016460411250591","0","0.007016460411250591","","","","","","","","","800","1","","","","","","","","0.0001121993525143668","","","","","","","","0.0018994263373315336","","","","","","","","0.0000021447503968374804","","","","","","","","0.00011330239794915542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.0001121993525143668","","","","","","","0.0018994263373315336","","","","","","","0.0000021447503968374804","","","","",""
"crisp-sweep-52","","finished","-","","","2024-05-23T14:51:16.000Z","1105","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.9898563183016243","","","","","","","","","","","","","","","0.0007410129387211575","","","","","","","","","","","","","","","","","","","","","","0.058641161769628525","","","","","","","","","","","","","","","","","","","","","","0.001395113067701459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9898563183016243","","","","","","","0.0007410129387211575","","","","","","","0.058641161769628525","","","","","","","0.001395113067701459","","","","","0.0006526624783873558","0","0.0006526624783873558","","","","","","","","","800","1","","","","","","","","0.00024063870617032192","","","","","","","","0.0039767976850271225","","","","","","","","0.0000035176503843104","","","","","","","","0.0002424448321107775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.00024063870617032192","","","","","","","0.0039767976850271225","","","","","","","0.0000035176503843104","","","","",""
"pleasant-sweep-51","","finished","-","","","2024-05-23T14:33:54.000Z","1173","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.9999187095678436","","","","","","","","","","","","","","","0.000038835385032093174","","","","","","","","","","","","","","","","","","","","","","0.006532674189656973","","","","","","","","","","","","","","","","","","","","","","0.00012552429689094424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9999187095678436","","","","","","","0.000038835385032093174","","","","","","","0.006532674189656973","","","","","","","0.00012552429689094424","","","","","0.008150866255164146","0","0.008150866255164146","","","","","","","","","800","1","","","","","","","","0.0001016378535846028","","","","","","","","0.0016549931606277823","","","","","","","","0.0000018252695781484365","","","","","","","","0.0001025781166390516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.0001016378535846028","","","","","","","0.0016549931606277823","","","","","","","0.0000018252695781484365","","","","",""
"peachy-sweep-50","","finished","-","","","2024-05-23T14:33:38.000Z","1050","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.9847504822884284","","","","","","","","","","","","","","","0.012836646736758208","","","","","","","","","","","","","","","","","","","","","","0.32423627376556396","","","","","","","","","","","","","","","","","","","","","","0.01247891690582037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9847504822884284","","","","","","","0.012836646736758208","","","","","","","0.32423627376556396","","","","","","","0.01247891690582037","","","","","0.008808780461549759","0","0.008808780461549759","","","","","","","","","800","1","","","","","","","","0.00008830361577341555","","","","","","","","0.0014710482209920883","","","","","","","","0.0000015782014770593378","","","","","","","","0.0000891157760634087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.00008830361577341555","","","","","","","0.0014710482209920883","","","","","","","0.0000015782014770593378","","","","",""
"warm-sweep-49","","finished","-","","","2024-05-23T14:33:32.000Z","1221","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.9548312031540044","","","","","","","","","","","","","","","0.000006848948196972428","","","","","","","","","","","","","","","","","","","","","","0.001103391288779676","","","","","","","","","","","","","","","","","","","","","","0.00003112273043370806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9548312031540044","","","","","","","0.000006848948196972428","","","","","","","0.001103391288779676","","","","","","","0.00003112273043370806","","","","","0.00366016966290772","0","0.00366016966290772","","","","","","","","","800","1","","","","","","","","0.00010208488213477868","","","","","","","","0.0017711058026179671","","","","","","","","0.000003060431936319219","","","","","","","","0.00010368054790887982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.00010208488213477868","","","","","","","0.0017711058026179671","","","","","","","0.000003060431936319219","","","","",""
"stilted-sweep-48","","finished","-","","","2024-05-23T14:14:36.000Z","1129","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.9095176179295285","","","","","","","","","","","","","","","0.0008483774905623132","","","","","","","","","","","","","","","","","","","","","","0.029022574424743652","","","","","","","","","","","","","","","","","","","","","","0.0010673485230654478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9095176179295285","","","","","","","0.0008483774905623132","","","","","","","0.029022574424743652","","","","","","","0.0010673485230654478","","","","","0.001799022895283997","0","0.001799022895283997","","","","","","","","","800","1","","","","","","","","0.00025947360158008325","","","","","","","","0.0044472175650298595","","","","","","","","0.000005063423486717511","","","","","","","","0.00026208601775579154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.00025947360158008325","","","","","","","0.0044472175650298595","","","","","","","0.000005063423486717511","","","","",""
"charmed-sweep-47","","finished","-","","","2024-05-23T14:13:44.000Z","1185","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.999474958251221","","","","","","","","","","","","","","","0.0010289349128894047","","","","","","","","","","","","","","","","","","","","","","0.025974946096539497","","","","","","","","","","","","","","","","","","","","","","0.0010442720958963037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.999474958251221","","","","","","","0.0010289349128894047","","","","","","","0.025974946096539497","","","","","","","0.0010442720958963037","","","","","0.0031823518220335245","0","0.0031823518220335245","","","","","","","","","800","1","","","","","","","","0.00008226177122668766","","","","","","","","0.0013933820882812142","","","","","","","","0.000001773014446371235","","","","","","","","0.00008317684842040762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.00008226177122668766","","","","","","","0.0013933820882812142","","","","","","","0.000001773014446371235","","","","",""
"fiery-sweep-46","","finished","-","","","2024-05-23T14:13:10.000Z","1236","1th fine tune","32","24h_10mmMAX_OI","5","50","80","1","bin","1","5","/home/students/s265780/data/24h_10mmMAX_OI","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","1","unet","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","0.998617660374534","","","","","","","","","","","","","","","0.0017988384824197978","","","","","","","","","","","","","","","","","","","","","","0.0537637434899807","","","","","","","","","","","","","","","","","","","","","","0.0018892099615186453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.998617660374534","","","","","","","0.0017988384824197978","","","","","","","0.0537637434899807","","","","","","","0.0018892099615186453","","","","","0.0062600900419056416","0","0.0062600900419056416","","","","","","","","","800","1","","","","","","","","0.000060338524413319394","","","","","","","","0.0009897527052089572","","","","","","","","8.59628585203609e-7","","","","","","","","0.00006077939906390384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.000060338524413319394","","","","","","","0.0009897527052089572","","","","","","","8.59628585203609e-7","","","","",""
