"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","val/KL","BCE 100 - val/KL__MIN","BCE 100 - val/KL__MAX"
"87","967","967","967","1.7621657848358154","1.7621657848358154","1.7621657848358154"
"88","978","978","978","1.6444700956344604","1.6444700956344604","1.6444700956344604"
"89","989","989","989","1.609631061553955","1.609631061553955","1.609631061553955"
"90","1000","1000","1000","1.748523235321045","1.748523235321045","1.748523235321045"
"91","1011","1011","1011","1.6969342231750488","1.6969342231750488","1.6969342231750488"
"92","1022","1022","1022","1.808472752571106","1.808472752571106","1.808472752571106"
"93","1033","1033","1033","1.8069697618484497","1.8069697618484497","1.8069697618484497"
"94","1044","1044","1044","1.7337117195129395","1.7337117195129395","1.7337117195129395"
"95","1055","1055","1055","1.7706091403961182","1.7706091403961182","1.7706091403961182"
"96","1066","1066","1066","1.713418960571289","1.713418960571289","1.713418960571289"
"97","1077","1077","1077","1.7155340909957886","1.7155340909957886","1.7155340909957886"
"98","1088","1088","1088","1.7001230716705322","1.7001230716705322","1.7001230716705322"
"99","1099","1099","1099","1.762061357498169","1.762061357498169","1.762061357498169"
