"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","val/brierScore","BCE 100 - val/brierScore__MIN","BCE 100 - val/brierScore__MAX"
"0","10","10","10","0.2376137226819992","0.2376137226819992","0.2376137226819992"
"1","21","21","21","0.23319245874881744","0.23319245874881744","0.23319245874881744"
"2","32","32","32","0.19318744540214539","0.19318744540214539","0.19318744540214539"
"3","43","43","43","0.1507727950811386","0.1507727950811386","0.1507727950811386"
"4","54","54","54","0.13315889239311218","0.13315889239311218","0.13315889239311218"
"5","65","65","65","0.1311933994293213","0.1311933994293213","0.1311933994293213"
"6","76","76","76","0.11667731404304504","0.11667731404304504","0.11667731404304504"
"7","87","87","87","0.10705708712339401","0.10705708712339401","0.10705708712339401"
"8","98","98","98","0.10470728576183319","0.10470728576183319","0.10470728576183319"
"9","109","109","109","0.08771000802516937","0.08771000802516937","0.08771000802516937"
"10","120","120","120","0.09836164861917496","0.09836164861917496","0.09836164861917496"
"11","131","131","131","0.08069434762001038","0.08069434762001038","0.08069434762001038"
"12","142","142","142","0.08404987305402756","0.08404987305402756","0.08404987305402756"
"13","153","153","153","0.07665486633777618","0.07665486633777618","0.07665486633777618"
"14","164","164","164","0.10608529299497604","0.10608529299497604","0.10608529299497604"
"15","175","175","175","0.09896286576986313","0.09896286576986313","0.09896286576986313"
"16","186","186","186","0.07179538905620575","0.07179538905620575","0.07179538905620575"
"17","197","197","197","0.05626963451504707","0.05626963451504707","0.05626963451504707"
"18","208","208","208","0.06369766592979431","0.06369766592979431","0.06369766592979431"
"19","219","219","219","0.0764259472489357","0.0764259472489357","0.0764259472489357"
"20","230","230","230","0.04886960610747337","0.04886960610747337","0.04886960610747337"
"21","241","241","241","0.10193869471549988","0.10193869471549988","0.10193869471549988"
"22","252","252","252","0.05854324623942375","0.05854324623942375","0.05854324623942375"
"23","263","263","263","0.05501965433359146","0.05501965433359146","0.05501965433359146"
"24","274","274","274","0.039762213826179504","0.039762213826179504","0.039762213826179504"
"25","285","285","285","0.04671896994113922","0.04671896994113922","0.04671896994113922"
"26","296","296","296","0.0372992604970932","0.0372992604970932","0.0372992604970932"
"27","307","307","307","0.05084025487303734","0.05084025487303734","0.05084025487303734"
"28","318","318","318","0.05814250186085701","0.05814250186085701","0.05814250186085701"
"29","329","329","329","0.03680632263422012","0.03680632263422012","0.03680632263422012"
"30","340","340","340","0.05022664740681648","0.05022664740681648","0.05022664740681648"
"31","351","351","351","0.0696580559015274","0.0696580559015274","0.0696580559015274"
"32","362","362","362","0.039027415215969086","0.039027415215969086","0.039027415215969086"
"33","373","373","373","0.06528102606534958","0.06528102606534958","0.06528102606534958"
"34","384","384","384","0.03964386507868767","0.03964386507868767","0.03964386507868767"
"35","395","395","395","0.062022462487220764","0.062022462487220764","0.062022462487220764"
"36","406","406","406","0.04321451112627983","0.04321451112627983","0.04321451112627983"
"37","417","417","417","0.05125034227967262","0.05125034227967262","0.05125034227967262"
"38","428","428","428","0.037180013954639435","0.037180013954639435","0.037180013954639435"
"39","439","439","439","0.04524284973740578","0.04524284973740578","0.04524284973740578"
"40","450","450","450","0.03381504863500595","0.03381504863500595","0.03381504863500595"
"41","461","461","461","0.0531117245554924","0.0531117245554924","0.0531117245554924"
"42","472","472","472","0.03518345206975937","0.03518345206975937","0.03518345206975937"
"43","483","483","483","0.04902400076389313","0.04902400076389313","0.04902400076389313"
"44","494","494","494","0.03551771491765976","0.03551771491765976","0.03551771491765976"
"45","505","505","505","0.05397682636976242","0.05397682636976242","0.05397682636976242"
"46","516","516","516","0.04864423722028732","0.04864423722028732","0.04864423722028732"
"47","527","527","527","0.04282579943537712","0.04282579943537712","0.04282579943537712"
"48","538","538","538","0.06221713125705719","0.06221713125705719","0.06221713125705719"
"49","549","549","549","0.05255662649869919","0.05255662649869919","0.05255662649869919"
"50","560","560","560","0.04039375111460686","0.04039375111460686","0.04039375111460686"
"51","571","571","571","0.042155321687459946","0.042155321687459946","0.042155321687459946"
"52","582","582","582","0.04276273027062416","0.04276273027062416","0.04276273027062416"
"53","593","593","593","0.04446236789226532","0.04446236789226532","0.04446236789226532"
"54","604","604","604","0.04209088906645775","0.04209088906645775","0.04209088906645775"
"55","615","615","615","0.04912729933857918","0.04912729933857918","0.04912729933857918"
"56","626","626","626","0.035379886627197266","0.035379886627197266","0.035379886627197266"
"57","637","637","637","0.04859844967722893","0.04859844967722893","0.04859844967722893"
"58","648","648","648","0.04819389805197716","0.04819389805197716","0.04819389805197716"
"59","659","659","659","0.043213799595832825","0.043213799595832825","0.043213799595832825"
"60","670","670","670","0.04661174863576889","0.04661174863576889","0.04661174863576889"
"61","681","681","681","0.04789891093969345","0.04789891093969345","0.04789891093969345"
"62","692","692","692","0.0441732294857502","0.0441732294857502","0.0441732294857502"
"63","703","703","703","0.04673949256539345","0.04673949256539345","0.04673949256539345"
"64","714","714","714","0.04293220490217209","0.04293220490217209","0.04293220490217209"
"65","725","725","725","0.03847886621952057","0.03847886621952057","0.03847886621952057"
"66","736","736","736","0.046766892075538635","0.046766892075538635","0.046766892075538635"
"67","747","747","747","0.04441085085272789","0.04441085085272789","0.04441085085272789"
"68","758","758","758","0.04042205959558487","0.04042205959558487","0.04042205959558487"
"69","769","769","769","0.04754657670855522","0.04754657670855522","0.04754657670855522"
"70","780","780","780","0.048146866261959076","0.048146866261959076","0.048146866261959076"
"71","791","791","791","0.04656962305307388","0.04656962305307388","0.04656962305307388"
"72","802","802","802","0.04661640152335167","0.04661640152335167","0.04661640152335167"
"73","813","813","813","0.04922400414943695","0.04922400414943695","0.04922400414943695"
"74","824","824","824","0.04852021113038063","0.04852021113038063","0.04852021113038063"
"75","835","835","835","0.046071793884038925","0.046071793884038925","0.046071793884038925"
"76","846","846","846","0.04534145072102547","0.04534145072102547","0.04534145072102547"
"77","857","857","857","0.045285385102033615","0.045285385102033615","0.045285385102033615"
"78","868","868","868","0.04494159668684006","0.04494159668684006","0.04494159668684006"
"79","879","879","879","0.04352615028619766","0.04352615028619766","0.04352615028619766"
"80","890","890","890","0.04628969728946686","0.04628969728946686","0.04628969728946686"
"81","901","901","901","0.04567918926477432","0.04567918926477432","0.04567918926477432"
"82","912","912","912","0.045324504375457764","0.045324504375457764","0.045324504375457764"
"83","923","923","923","0.04216857627034187","0.04216857627034187","0.04216857627034187"
"84","934","934","934","0.041613779962062836","0.041613779962062836","0.041613779962062836"
"85","945","945","945","0.047026682645082474","0.047026682645082474","0.047026682645082474"
"86","956","956","956","0.045073434710502625","0.045073434710502625","0.045073434710502625"
"87","967","967","967","0.045740481466054916","0.045740481466054916","0.045740481466054916"
"88","978","978","978","0.042616862803697586","0.042616862803697586","0.042616862803697586"
"89","989","989","989","0.04189283773303032","0.04189283773303032","0.04189283773303032"
"90","1000","1000","1000","0.04560275748372078","0.04560275748372078","0.04560275748372078"
"91","1011","1011","1011","0.04445629194378853","0.04445629194378853","0.04445629194378853"
"92","1022","1022","1022","0.0474955253303051","0.0474955253303051","0.0474955253303051"
"93","1033","1033","1033","0.04768989235162735","0.04768989235162735","0.04768989235162735"
"94","1044","1044","1044","0.04560977965593338","0.04560977965593338","0.04560977965593338"
"95","1055","1055","1055","0.046623535454273224","0.046623535454273224","0.046623535454273224"
"96","1066","1066","1066","0.04523102566599846","0.04523102566599846","0.04523102566599846"
"97","1077","1077","1077","0.045236703008413315","0.045236703008413315","0.045236703008413315"
"98","1088","1088","1088","0.044845256954431534","0.044845256954431534","0.044845256954431534"
"99","1099","1099","1099","0.04673900082707405","0.04673900082707405","0.04673900082707405"
