"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","n_split","test/AUC","test/ECE","test/KL","test/brierScore","test_metric/AUC 1","test_metric/AUC 10","test_metric/AUC 100","test_metric/AUC 150","test_metric/AUC 20","test_metric/AUC 5","test_metric/AUC 50","test_metric/ECE 1","test_metric/ECE 10","test_metric/ECE 100","test_metric/ECE 150","test_metric/ECE 20","test_metric/ECE 5","test_metric/ECE 50","test_metric/KL 1","test_metric/KL 10","test_metric/KL 100","test_metric/KL 150","test_metric/KL 20","test_metric/KL 5","test_metric/KL 50","test_metric/brierScore 1","test_metric/brierScore 10","test_metric/brierScore 100","test_metric/brierScore 150","test_metric/brierScore 20","test_metric/brierScore 5","test_metric/brierScore 50","train/BCE","train/CAPE","train/loss","val/AUC","val/ECE","val/KL","val/brierScore","val/loss","val_metric/AUC 1","val_metric/AUC 10","val_metric/AUC 20","val_metric/AUC 5","val_metric/AUC 50","val_metric/ECE 1","val_metric/ECE 10","val_metric/ECE 100","val_metric/ECE 150","val_metric/ECE 20","val_metric/ECE 5","val_metric/ECE 50","val_metric/KL 1","val_metric/KL 10","val_metric/KL 100","val_metric/KL 150","val_metric/KL 20","val_metric/KL 5","val_metric/KL 50","val_metric/brierScore 1","val_metric/brierScore 10","val_metric/brierScore 100","val_metric/brierScore 150","val_metric/brierScore 20","val_metric/brierScore 5","val_metric/brierScore 50"
"youthful-sweep-9","2024-05-15T14:44:51.000Z","612","2024-05-15T14:55:03.000Z","8y2nh7ac","-","2024-05-15T14:55:03.000Z","","8","0.9571893063384316","0.026583253850723416","2.368159532546997","0.05426304042339325","0.9174580308708372","0.9384760431622956","0.9904616817982892","0.9806811452722092","0.9705973165581764","0.9129673900061832","0.9896835367010304","0.07160054325951112","0.0323572325581075","0.002617107610959786","0.0009320755261875452","0.03173714269310581","0.0360250110103547","0.010813664296837474","5.021460056304932","3.662076234817505","0.20674866437911987","0.024354886263608932","1.9415587186813352","5.087508201599121","0.6334078311920166","0.10632889717817308","0.08603479713201523","0.005566132254898548","0.0002498668909538537","0.04714268073439598","0.12024229764938354","0.0142765948548913","0.1969233900308609","0.20363160967826843","0.4005550146102905","0.913823049015198","0.054569920250650536","2.0272393226623535","0.0442654974758625","0.14232757687568665","0.8635508407053017","0.8717382838579275","0.9016229729663212","0.8750246493153799","0.8848245962614556","0.2804882370702475","0.015269016909654442","0.000013298138952981712","0.000015728848660222754","0.002142761865084108","0.08396100778329692","0.00009939113865756236","8.856541633605957","1.3363593816757202","0.00021168641978874805","0.0002472240594215691","0.22441960871219635","3.763450145721435","0.009445585310459135","0.2056215852499008","0.028613831847906113","1.6483244280607326e-7","1.870949830617974e-7","0.005361533258110285","0.07000748068094254","0.00025368441129103303"
"whole-sweep-8","2024-05-15T14:44:31.000Z","653","2024-05-15T14:55:24.000Z","lz9s3js6","-","2024-05-15T14:55:24.000Z","","7","0.954801083392585","0.03125428985415422","2.3973445892333984","0.05700584128499031","0.9243291296414924","0.9307450146945792","0.9903016035907164","0.9776905927363664","0.9466105238871216","0.9301650858696242","0.9837656333281936","0.04010819802404798","0.0560634396959386","0.001760070958041486","0.001103049233791756","0.03673694748242755","0.07768245237431363","0.0053258712105185325","4.635529518127441","4.087218761444092","0.14690232276916504","0.03900831937789917","2.4135210514068604","4.829145908355713","0.6300840377807617","0.10147497057914734","0.1008923351764679","0.003974841441959143","0.0013773385435342789","0.06317831575870514","0.11470122635364532","0.013441798277199268","0.19641876220703125","0.20677390694618225","0.4031926691532135","0.8943403103590573","0.052472529806053776","1.972650170326233","0.04232112690806389","0.13825540244579315","0.8573289650994008","0.8731204106437146","0.8818677085288379","0.8771945684427868","0.7708705197986601","0.24554731024406756","0.026586184624304857","0.00003102692779825907","0.00003071769290194133","0.005784261381886214","0.08878025785535325","0.0005479499160643645","8.207197189331055","1.5210367441177368","0.0004963352694176137","0.0004727175983134657","0.27201205492019653","3.7950518131256104","0.012284577824175358","0.18835829198360443","0.030518291518092155","2.826774050390668e-7","2.994616465912259e-7","0.005519591737538576","0.07170691341161728","0.00014422369713429362"
"expert-sweep-7","2024-05-15T14:44:25.000Z","649","2024-05-15T14:55:14.000Z","gec2h39j","-","2024-05-15T14:55:14.000Z","","6","0.9389930452689986","0.033787540995089446","2.5712733268737793","0.06346733868122101","0.8535438436801558","0.9068403277151552","0.9897122688173312","1","0.9648165728997804","0.8690822575875601","0.9889560461830078","0.043746208645375095","0.0530309921199561","0.000201721717038081","0.0002546200883471382","0.038264551121133625","0.08396689551089795","0.01704779776287815","5.952463626861572","3.816683292388916","0.042718108743429184","0.004109088331460953","1.6655806303024292","5.955913543701172","0.5614433884620667","0.13653835654258728","0.09564308822155","0.001106534036807716","0.000004103283572476357","0.041869644075632095","0.1519455909729004","0.017164062708616257","0.22552154958248136","0.23379480838775635","0.4593163728713989","0.931690679540822","0.0443835661002557","1.8702235221862793","0.0400649830698967","0.131500706076622","0.8634112206935","0.8720540617698416","0.917621708610732","0.8760883379524935","0.9926594277591864","0.24691810645896856","0.00904127925321006","0.000028097535732815957","0.00003940320689089809","0.0014031874343562324","0.05316587191004362","0.00008901690258772304","8.372650146484375","1.229202389717102","0.0004817552980966866","0.0006582070491276681","0.20144380629062653","3.2782537937164307","0.008874582126736641","0.1845111846923828","0.027848374098539352","7.419330927405099e-7","9.151375479632406e-7","0.005034465342760086","0.0628708004951477","0.000188371617696248"
"glad-sweep-6","2024-05-15T14:44:23.000Z","620","2024-05-15T14:54:43.000Z","k4rlay14","-","2024-05-15T14:54:43.000Z","","5","0.9418316992138004","0.03417325103455586","2.590229034423828","0.06294459104537964","0.9021954063825638","0.90303944841644","0.999619064562959","1","0.9203550188240937","0.8904980233038609","0.9771149330066848","0.09714542026778494","0.05321538132428337","0.0015429090498767877","0.0003261347766778735","0.027410779720209985","0.05731938910200286","0.002252743001055213","5.3161091804504395","4.531749248504639","0.03466949239373207","0.005213627126067877","2.1730494499206543","5.647254467010498","0.4235576093196869","0.11829233169555664","0.11626496911048888","0.00020803208462893963","0.000003154503019686672","0.058048877865076065","0.1389683336019516","0.008826440200209618","0.1913132220506668","0.20095309615135193","0.39226633310317993","0.9112583098793852","0.03339657653511148","1.702712893486023","0.03715406730771065","0.12351848930120468","0.8491338292717978","0.8737536824509564","0.8982368232662455","0.8688145257131017","0.888869308453595","0.18787651153575857","0.0065489826854397","0.000007999236127490149","0.000014330045515362216","0.0013304255106045056","0.03790475714670471","0.00009302958563001584","7.508448123931885","1.1720925569534302","0.00012395491648931056","0.00021688308333978057","0.18524006009101868","3.043684959411621","0.00918304454535246","0.16375593841075897","0.02785162627696991","7.06228320268565e-8","1.0748790657544305e-7","0.004964101128280163","0.06325262039899826","0.00025399940204806626"
"fanciful-sweep-5","2024-05-15T14:32:01.000Z","742","2024-05-15T14:44:23.000Z","j5n6bc45","-","2024-05-15T14:44:23.000Z","","4","0.844456503294466","0.018334926103682116","2.5171804428100586","0.05870660021901131","0.8885469084832138","0.9221320864969644","0.9877705399354376","0.2582713474500546","0.964298127727358","0.8990245586047954","0.9911519543634394","0.030040874991627293","0.019522354086714235","0.00751290431873637","0.005134585918789815","0.016475472736849475","0.02776557991459174","0.02189271075846589","5.455595016479492","3.706840038299561","0.39271408319473267","0.12192731350660324","1.7463932037353516","5.2435455322265625","0.9532470107078552","0.12345390021800996","0.08659377694129944","0.011140719056129456","0.005231739021837711","0.038986437022686005","0.12284950911998747","0.022690121084451675","0.19558310508728027","0.20469234883785248","0.40027546882629395","0.9174670102446996","0.06491658071975888","2.1052920818328857","0.04737793654203415","0.1502038836479187","0.8816380863841529","0.8853527962560861","0.8865677657408977","0.8895024660702529","0.8792079572615059","0.32242323217080726","0.028684023888588445","0.000022931167849481734","0.000015571642457591372","0.0048710245114444856","0.09816018871900452","0.00023909293816043163","9.107243537902832","1.5035427808761597","0.00038169987965375185","0.0002566752955317497","0.2607932686805725","3.853250026702881","0.01157580316066742","0.2256184071302414","0.02887740172445774","4.932911679134122e-7","2.393591955751617e-7","0.005517035257071257","0.07138357311487198","0.0002483692951500416"
"comfy-sweep-4","2024-05-15T14:32:01.000Z","740","2024-05-15T14:44:21.000Z","sjjuuq8c","-","2024-05-15T14:44:21.000Z","","3","0.9394432884198854","0.01160494722365667","2.522775411605835","0.05829513445496559","0.8800804564315872","0.8914279439753966","0.9922595954877792","1","0.932791104641671","0.8861038667440413","0.993440051658722","0.02133417985894181","0.016029900636887848","0.001119696153631999","0.00033948525945107016","0.012389854887747886","0.02498022639852914","0.005041287370406954","5.292755603790283","4.391927242279053","0.02107470855116844","0.0054105124436318874","1.7753596305847168","5.866734027862549","0.30616652965545654","0.12275954335927965","0.1037149503827095","0.00005642263204208575","0.0000037045087992737535","0.04041251912713051","0.13629679381847382","0.004822010174393654","0.2007319927215576","0.2091453522443771","0.40987735986709595","0.915322347068476","0.06306557401614067","2.101976156234741","0.04597553238272667","0.14784321188926697","0.8669565202533622","0.8778697739013033","0.9024790828195484","0.8840987364123982","0.8758523160927195","0.29584523903569154","0.03214618410093034","0.0000571858484333984","0.00006384152140246145","0.007106865161071054","0.10560625122742348","0.0006334512180323898","8.868966102600098","1.5657413005828855","0.0009472820675000548","0.0010123938554897904","0.31600889563560486","3.942482471466065","0.01867295987904072","0.21108989417552948","0.030556924641132355","0.0000011673016615532106","0.0000010219611112916027","0.006182758137583733","0.07373584806919098","0.00026112826890312135"
"quiet-sweep-2","2024-05-15T14:32:00.000Z","769","2024-05-15T14:44:49.000Z","c60dtje4","-","2024-05-15T14:44:49.000Z","","1","0.9160230987780914","0.028326356551595565","2.4754350185394287","0.06009145826101303","0.884917530585574","0.832392697382857","0.9968518616536588","1","0.8655748318425243","0.8553986527354076","0.977026117246618","0.07368378875359574","0.03854299492665034","0.0009334960898764422","0.00006599270367646073","0.012387762961539196","0.07064009194184251","0.0020303684839882543","6.213905334472656","3.847232818603515","0.02881845459342003","0.0010608386946842074","0.9738690853118896","6.137924671173096","0.12523522973060608","0.13188228011131287","0.10479675978422164","0.0010976665653288364","0.0000013042637192484108","0.025028977543115616","0.15448185801506042","0.003351317485794425","0.1999511867761612","0.2085707485675812","0.4085219502449035","0.9077681382514484","0.054255376318389885","1.9778417348861697","0.042603500187397","0.1395791321992874","0.8655046945214595","0.8663849037171718","0.9009939707119436","0.8722251121992994","0.8492682866102649","0.2597176025006104","0.023758624040522848","0.0000308302278277904","0.00003001725039540178","0.004986955817370792","0.09089627733270549","0.0003673270592964982","8.377396583557129","1.4238440990447998","0.0005234878044575453","0.0004919304046779871","0.2549390196800232","3.775641202926636","0.012053311802446842","0.19166921079158783","0.029474802315235134","8.271338742815715e-7","5.745895350628416e-7","0.005592735018581152","0.07127951830625534","0.0002068306494038552"
"feasible-sweep-1","2024-05-15T14:32:00.000Z","795","2024-05-15T14:45:15.000Z","ecblgema","-","2024-05-15T14:45:15.000Z","","0","0.8908455698801202","0.04338740588079182","2.554569721221924","0.0627276748418808","0.8852072706871639","0.8945043860827512","0.9959742862401124","0.6774445621094991","0.9375765852498912","0.8634872443748405","0.981724654416583","0.11834435965862349","0.0563506330141712","0.001247764443741394","0.0002241166679048305","0.026714774466227886","0.09259304094490677","0.008237151969967157","6.937277793884277","3.332131862640381","0.07194020599126816","0.0049301087856292725","1.4341944456100464","5.741157531738281","0.36035558581352234","0.14289796352386477","0.09097430855035782","0.0022256518714129925","0.00017088488675653934","0.03973997384309769","0.15290191769599917","0.010183033533394337","0.19179630279541016","0.20116302371025083","0.392959326505661","0.9092822709168076","0.06574999819271264","2.183901786804199","0.04837215691804886","0.15416283905506134","0.8649220589295536","0.866878217044611","0.8973942569936513","0.8725252899228978","0.8632560735269382","0.3199078142453249","0.03139195745832611","0.00002605139870093807","0.00003713827337156659","0.00394542974746981","0.1046175173266471","0.0003240788991481339","9.30748176574707","1.6131824254989624","0.0004236440581735223","0.000593386241234839","0.2736641466617584","4.078660011291504","0.013306720182299614","0.22854161262512207","0.02996949292719364","4.398304724873015e-7","5.917725616200187e-7","0.005762193817645311","0.07408073544502258","0.00025002151960507035"
"jumping-sweep-3","2024-05-15T14:32:00.000Z","749","2024-05-15T14:44:29.000Z","l5pbmt5g","-","2024-05-15T14:44:29.000Z","","2","0.9412724043391864","0.027942715278565455","2.471865177154541","0.05797553062438965","0.8945124582930761","0.9108689363449606","0.9581699193203228","1","0.9544495526357132","0.8900363360499979","0.9808696277302338","0.09340519408823876","0.03170544136681985","0.0022598533803530343","0.00047617365326072534","0.009012764312410326","0.05189675035377818","0.0068428297950972935","5.792247295379639","3.6425912380218506","0.08474574983119965","0.007789675612002611","1.8816134929656985","5.3095293045043945","0.5845392942428589","0.12729379534721377","0.09209699928760529","0.0011318583274260163","0.000006713325547025306","0.04288226738572121","0.13147945702075958","0.010937596671283243","0.18864189088344577","0.19820955395698547","0.38685142993927","0.910235608807384","0.056738739967308896","2.0195717811584473","0.04445890709757805","0.14347460865974426","0.8733395798077366","0.8663566486916192","0.8873858054663303","0.8727726105332436","0.8717946171527576","0.29115420542803466","0.021010284030061235","0.000025133300177912645","0.00003542386630998012","0.003651347730697636","0.08109589524073646","0.00019889017514439464","8.7161226272583","1.4535470008850098","0.000421752774855122","0.0005723678623326123","0.25024163722991943","3.704976320266723","0.011122013442218304","0.20500564575195312","0.02968772873282433","6.498988796010963e-7","6.618624865950551e-7","0.005669125355780125","0.07059387862682343","0.0002546596806496382"
